,Current Status,Gender,Education,Occupation,Account type,Have minimum balance?,Have multiple accounts?,Own an active loan?,Use internet or mobile banking?,Has an active credit Card?,Ever defaulted on a loan?,Satisfied with bank service?,Any transaction in the past 24 months,Age,Opening balance,Current balance,Dist of residence from the bank,Quarterly activity rate,Months since last transaction
1077,Active,Male,Graduate,Salaried,Savings,Yes,No,Yes,Yes,Yes,No,Yes,Yes,21,5947,23000.0,2.0,12.0,1.0
1078,Active,Male,Post Graduate,Salaried,Salaried,Yes,Yes,No,Yes,Yes,Yes,No,Yes,23,5947,12000.0,3.0,12.0,1.0
1079,Active,Male,Graduate,Business,Savings,Yes,No,Yes,Yes,Yes,No,Need Improvement,Yes,25,5947,27239.0,5.0,12.0,1.0
1080,Active,Male,12th,Business,Current,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,28,5947,27239.0,6.0,12.0,1.0
1081,Active,Male,Post Graduate,Other,Current,Yes,No,No,Yes,Yes,No,Need Improvement,Yes,31,5000,27000.0,1.0,12.0,1.0
1082,Inactive,Male,Graduate,Business,Savings,No,Yes,No,No,No,No,No,Yes,34,1000,0.0,4.0,4.0,5.4478
1083,Active,Male,Post Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,16,500,10000.0,23.7912,15.0,1.0
1084,Active,Male,10th,Salaried,Salaried,Yes,Yes,No,No,Yes,No,Yes,Yes,54,0,27239.0,1.0,9.0,1.0
1085,Active,Female,Graduate,Student,Savings,Yes,No,No,No,No,No,Need Improvement,Yes,25,500,27239.0,7.0,40.0,1.0
1086,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,23,500,1000.0,5.0,41.1346,1.0
1087,Active,Female,Graduate,Other,Other,Yes,No,No,No,No,No,Yes,Yes,54,1000,27239.0,2.0,9.0,5.4478
1088,Active,Male,Doctrate,Salaried,Pension,Yes,Yes,Yes,Yes,No,No,Yes,Yes,54,0,9000.0,4.0,40.0,1.0
1089,Dormant,Male,Graduate,Business,Savings,No,Yes,No,No,No,No,No,No,30,5947,0.0,1.0,2.0,5.4478
1090,Inactive,Male,Graduate,Salaried,Savings,Yes,No,No,No,No,No,Yes,Yes,2,5947,10745.0,1.0,1.0,5.4478
