,Current Status,Gender,Education,Occupation,Account type,Have minimum balance?,Have multiple accounts?,Own an active loan?,Use internet or mobile banking?,Has an active credit Card?,Ever defaulted on a loan?,Satisfied with bank service?,Any transaction in the past 24 months,Age,Opening balance,Current balance,Dist of residence from the bank,Quarterly activity rate,Months since last transaction
129,Inactive,Female,Graduate,Not working,Savings,Yes,Yes,No,No,No,No,Need Improvement,No,30,1000,10000.0,4.0,0.0,5.4478
130,Dormant,Female,12th,Other,Savings,Yes,No,No,No,No,No,Need Improvement,No,54,5947,27239.0,3.0,2.0,5.4478
131,Active,Male,Graduate,Salaried,Current,No,Yes,Yes,Yes,No,Yes,Yes,No,50,1000,500.0,0.0,5.0,5.4478
132,Dormant,Male,12th,Other,Savings,No,Yes,Yes,No,No,No,Yes,Yes,29,2000,30.0,23.7912,3.0,5.4478
133,Dormant,Male,Graduate,Other,No Frill ACcount,No,No,No,No,No,No,No,No,23,1000,20.0,10.0,0.0,5.4478
134,Active,Male,Graduate,Other,Savings,No,Yes,Yes,Yes,No,No,Yes,Yes,22,5000,1000.0,3.0,12.0,1.0
135,Active,Male,Graduate,Salaried,Salaried,Yes,No,No,Yes,No,No,Yes,Yes,23,1000,27239.0,1.0,12.0,1.0
136,Inactive,Male,Graduate,Student,Savings,No,No,Yes,Yes,Yes,No,Need Improvement,No,25,2000,0.0,0.0,3.0,2.0
137,Active,Male,Graduate,Salaried,Savings,Yes,No,No,No,No,No,Yes,Yes,22,900,27239.0,4.0,12.0,1.0
138,Active,Female,Graduate,Student,Savings,Yes,No,No,No,Yes,No,Need Improvement,Yes,19,4000,4000.0,4.0,41.1346,0.0
139,Active,Male,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,No,No,No,Yes,31,5947,8000.0,15.0,41.1346,1.0
140,Active,Male,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,No,No,Yes,Yes,31,2000,10000.0,3.0,41.1346,1.0
141,Active,Male,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,No,No,No,Yes,31,2000,27239.0,1.0,41.1346,1.0
142,Active,Male,12th,Salaried,Savings,Yes,No,No,Yes,No,No,No,Yes,33,5947,25000.0,15.0,12.0,1.0
143,Active,Male,Graduate,Business,Current,Yes,Yes,No,Yes,Yes,No,No,Yes,33,5947,27239.0,5.0,41.1346,1.0
144,Dormant,Male,10th,Other,Savings,Yes,No,No,No,No,No,No,No,35,1000,500.0,15.0,0.0,5.4478
145,Active,Male,Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,No,Yes,25,1000,5000.0,23.7912,12.0,1.0
146,Active,Male,Graduate,Salaried,Salaried,Yes,No,No,Yes,No,No,No,Yes,33,1500,500.0,23.7912,12.0,1.0
147,Active,Male,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,No,No,Yes,36,2000,7000.0,10.0,12.0,1.0
148,Dormant,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,No,No,35,2000,800.0,23.7912,2.0,5.4478
149,Inactive,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,No,No,28,5947,10000.0,23.7912,0.1,5.4478
150,Active,Male,Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,No,Yes,32,2000,3000.0,23.7912,41.1346,3.0
151,Dormant,Male,Graduate,Salaried,Savings,No,Yes,No,Yes,No,No,Need Improvement,No,34,2500,0.0,23.7912,2.0,5.4478
152,Active,Male,10th,Salaried,Savings,Yes,Yes,Yes,Yes,No,No,Yes,Yes,35,5947,25000.0,23.7912,12.0,1.0
153,Dormant,Male,Graduate,Salaried,Salaried,No,Yes,No,Yes,No,No,No,No,36,5947,18000.0,23.7912,2.0,5.4478
154,Dormant,Male,Graduate,Other,Other,Yes,Yes,Yes,Yes,No,No,No,No,28,2000,25000.0,15.0,2.0,5.4478
155,Dormant,Male,Graduate,Salaried,Salaried,No,Yes,No,Yes,No,No,No,No,36,5947,18000.0,23.7912,2.0,5.4478
156,Dormant,Male,Graduate,Other,Other,Yes,Yes,Yes,Yes,No,No,Yes,No,28,2000,25000.0,15.0,2.0,5.4478
157,Dormant,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,No,No,35,2000,800.0,23.7912,2.0,5.4478
158,Inactive,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,No,No,28,5947,10000.0,23.7912,0.1,5.4478
159,Dormant,Male,Graduate,Salaried,Salaried,No,Yes,Yes,Yes,No,No,No,No,36,5947,5000.0,23.7912,2.0,5.4478
160,Active,Male,12th,Business,Savings,Yes,Yes,No,Yes,No,No,No,Yes,40,2000,27239.0,10.0,12.0,1.0
161,Dormant,Male,Doctrate,Salaried,Savings,Yes,Yes,No,No,No,Yes,Yes,No,45,1000,1000.0,23.7912,2.0,-3.0
162,Active,Male,10th,Other,Savings,Yes,Yes,Yes,No,No,No,Yes,Yes,54,1000,15000.0,5.0,4.0,1.0
163,Active,Male,Graduate,Salaried,Salaried,Yes,No,No,Yes,No,No,Yes,Yes,28,5947,27239.0,10.0,12.0,1.0
164,Active,Male,Post Graduate,Salaried,Savings,Yes,No,No,Yes,Yes,No,Yes,Yes,30,5947,27239.0,1.0,12.0,1.0
165,Dormant,Male,Graduate,Business,Savings,No,Yes,Yes,Yes,Yes,Yes,No,No,28,500,0.0,2.0,2.0,5.4478
166,Active,Male,Graduate,Other,Savings,Yes,No,No,No,No,No,Need Improvement,Yes,54,500,27239.0,1.0,8.0,2.0
167,Dormant,Male,Post Graduate,Salaried,Savings,Yes,Yes,No,No,No,Yes,No,No,41,500,2500.0,23.7912,2.0,5.4478
168,Inactive,Male,12th,Student,Savings,Yes,No,No,No,No,No,Yes,No,20,2500,15000.0,3.0,0.1,5.4478
169,Active,Male,Graduate,Student,Savings,Yes,No,No,No,No,No,Yes,Yes,25,5947,25000.0,5.0,12.0,1.0
170,Active,Female,Graduate,Student,Other,Yes,No,No,Yes,No,Yes,Yes,Yes,21,1000,2000.0,1.0,5.0,1.0
171,Active,Male,Graduate,Salaried,Current,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,25,0,27239.0,10.0,41.1346,1.0
172,Dormant,Male,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,No,Yes,No,25,1000,27239.0,23.7912,0.0,5.4478
173,Dormant,Male,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,No,Yes,No,25,2000,27239.0,23.7912,0.0,5.4478
174,Active,Female,12th,Student,Savings,Yes,No,No,No,Yes,No,Yes,Yes,20,0,20.0,1.0,20.0,1.0
175,Inactive,Male,10th,Other,No Frill ACcount,No,Yes,Yes,No,No,Yes,Yes,No,40,0,0.0,23.7912,4.0,5.4478
176,Dormant,Male,12th,Salaried,Savings,No,Yes,No,Yes,No,No,Yes,No,50,3000,0.0,23.7912,1.0,-2.0
177,Dormant,Male,Doctrate,Salaried,Salaried,No,Yes,Yes,No,No,No,No,No,39,500,300.0,23.7912,15.0,5.4478
178,Active,Male,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,29,5947,27239.0,10.0,12.0,1.0
179,Active,Female,Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,Yes,Yes,22,3000,0.0,3.0,12.0,1.0
180,Dormant,Male,10th,Other,Other,No,No,Yes,No,No,Yes,Need Improvement,No,43,500,10.0,23.7912,2.0,5.4478
181,Active,Male,Graduate,Student,Savings,Yes,No,No,No,No,No,Yes,Yes,23,1000,15000.0,3.0,2.0,1.0
182,Active,Female,Post Graduate,Student,Savings,No,No,No,Yes,No,No,Yes,Yes,21,500,69.0,1.0,12.0,1.0
183,Active,Male,Graduate,Business,Savings,Yes,No,No,Yes,No,No,Yes,Yes,22,2000,500.0,23.7912,3.0,5.4478
184,Inactive,Female,Graduate,Student,Savings,No,No,No,Yes,No,No,Yes,No,20,2020,0.0,5.0,0.1,1.0
185,Active,Female,Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,Yes,Yes,26,1000,27239.0,10.0,8.0,2.0
186,Dormant,Male,Graduate,Student,Current,No,No,No,No,No,No,No,No,21,0,0.0,7.0,2.0,5.4478
187,Active,Female,12th,Student,Savings,Yes,No,No,No,No,No,Yes,Yes,21,2000,3500.0,2.0,0.0,5.4478
188,Active,Male,Graduate,Salaried,Savings,Yes,No,No,No,No,No,Yes,Yes,26,1000,1000.0,2.0,41.1346,1.0
189,Active,Male,Post Graduate,Student,Savings,Yes,No,No,Yes,No,No,Need Improvement,Yes,29,1000,3000.0,9.0,9.0,2.0
190,Dormant,Female,Post Graduate,Salaried,Savings,Yes,Yes,No,No,No,No,Yes,No,38,1000,2500.0,23.7912,12.0,5.4478
191,Inactive,Female,Post Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,Yes,23,0,27239.0,10.0,0.0,5.4478
192,Active,Female,Post Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,Yes,Yes,23,500,5000.0,1.0,5.0,1.0
193,Active,Male,Graduate,Business,Current,Yes,Yes,Yes,Yes,No,No,Yes,Yes,24,5947,27239.0,3.0,41.1346,1.0
194,Dormant,Male,Graduate,Business,Savings,Yes,Yes,Yes,Yes,No,No,Yes,No,24,1000,10000.0,2.0,1.0,5.4478
195,Dormant,Female,Graduate,Not working,Savings,No,Yes,No,No,No,No,Yes,No,28,500,201.0,20.0,5.0,5.4478
196,Active,Female,Graduate,Student,Current,Yes,No,No,Yes,No,No,Yes,Yes,23,500,5000.0,5.0,12.0,1.0
197,Active,Female,Post Graduate,Business,Savings,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,30,2000,27239.0,10.0,12.0,1.0
198,Active,Female,Graduate,Business,Current,Yes,No,Yes,Yes,Yes,No,Yes,Yes,22,2000,27239.0,3.0,12.0,1.0
199,Active,Female,Post Graduate,Salaried,Current,Yes,No,No,No,No,No,Need Improvement,Yes,23,1000,27239.0,5.0,12.0,3.0
200,Inactive,Female,Graduate,Business,Current,Yes,No,Yes,No,No,No,No,No,29,600,3900.0,23.7912,0.1,2.0
201,Active,Female,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,27,5000,27239.0,4.0,12.0,1.0
202,Active,Female,Graduate,Business,Current,No,Yes,Yes,Yes,No,No,Yes,No,29,3000,5.0,10.0,12.0,1.0
203,Active,Female,Doctrate,Business,Current,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33,1000,27239.0,1.0,12.0,1.0
204,Active,Female,Graduate,Business,Salaried,No,No,No,No,No,No,No,No,34,600,27239.0,5.0,12.0,5.4478
205,Dormant,Female,Post Graduate,Salaried,Salaried,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,27,3000,3500.0,4.0,2.0,5.4478
206,Active,Female,Graduate,Student,Savings,Yes,No,Yes,Yes,Yes,Yes,Yes,No,29,2000,3000.0,23.7912,12.0,1.0
207,Active,Female,Graduate,Business,Savings,Yes,No,No,Yes,Yes,Yes,Yes,Yes,24,3000,5000.0,4.0,12.0,1.0
208,Dormant,Female,Post Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Yes,Yes,28,2000,5000.0,10.0,2.0,5.4478
209,Inactive,Female,12th,Student,Current,No,No,Yes,No,No,No,No,Yes,20,500,500.0,4.0,0.1,5.4478
210,Dormant,Female,Post Graduate,Business,Savings,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,27,5000,10000.0,23.7912,2.0,5.4478
211,Active,Female,Graduate,Business,Salaried,Yes,No,No,No,Yes,No,No,Yes,45,500,27239.0,5.0,12.0,3.0
212,Inactive,Female,Graduate,Student,Savings,Yes,No,Yes,Yes,No,No,Yes,Yes,26,3000,27239.0,23.7912,0.1,5.4478
213,Active,Female,Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,23,5947,27239.0,2.0,12.0,1.0
214,Active,Female,Graduate,Salaried,Salaried,No,Yes,Yes,Yes,Yes,Yes,Need Improvement,Yes,24,2000,1500.0,3.0,12.0,1.0
215,Active,Female,Graduate,Business,Current,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25,5000,5000.0,20.0,12.0,1.0
216,Active,Female,Post Graduate,Business,Salaried,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,30,5000,27239.0,2.0,12.0,1.0
217,Dormant,Female,Post Graduate,Other,Salaried,Yes,Yes,Yes,Yes,No,Yes,No,Yes,25,5000,4000.0,3.0,2.0,5.4478
218,Dormant,Female,Post Graduate,Business,Current,No,Yes,Yes,Yes,Yes,No,Yes,Yes,25,2000,1.0,5.0,2.0,5.4478
219,Dormant,Female,Post Graduate,Salaried,Salaried,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,29,5000,1099.0,5.0,2.0,5.4478
220,Dormant,Female,Post Graduate,Business,Current,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,28,3000,27239.0,14.0,2.0,5.4478
221,Dormant,Male,Post Graduate,Salaried,Salaried,No,Yes,Yes,Yes,Yes,Yes,Need Improvement,No,32,5947,500.0,2.0,2.0,5.4478
222,Active,Female,Post Graduate,Business,Current,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34,2000,2000.0,23.7912,12.0,1.0
223,Active,Female,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Need Improvement,Yes,22,500,5000.0,0.0,41.1346,1.0
224,Active,Female,Post Graduate,Business,Savings,Yes,No,Yes,No,No,No,No,No,38,500,27239.0,8.0,12.0,1.0
225,Active,Female,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,25,1000,2800.0,2.0,5.0,2.0
226,Active,Female,Post Graduate,Salaried,Salaried,No,Yes,No,Yes,No,No,Yes,Yes,28,0,8000.0,3.0,20.0,1.0
227,Active,Female,Doctrate,Salaried,Salaried,Yes,Yes,No,Yes,Yes,No,Yes,Yes,26,5947,27239.0,1.0,35.0,1.0
228,Active,Female,Graduate,Business,Current,Yes,Yes,Yes,Yes,Yes,No,Need Improvement,Yes,29,5947,27239.0,2.5,41.1346,1.0
229,Inactive,Female,12th,Student,Savings,Yes,No,No,No,Yes,No,Need Improvement,No,20,600,27239.0,14.0,0.1,5.4478
230,Inactive,Female,Post Graduate,Salaried,Salaried,No,No,No,No,No,No,No,No,37,500,500.0,3.0,0.1,5.4478
231,Inactive,Female,Graduate,Business,Current,Yes,No,No,No,No,No,Need Improvement,No,38,500,500.0,7.0,0.1,5.4478
232,Active,Female,Graduate,Salaried,Salaried,No,No,No,No,No,No,Yes,No,45,700,5000.0,6.0,12.0,0.0
233,Dormant,Male,Post Graduate,Salaried,Savings,No,Yes,Yes,No,No,No,No,No,34,1000,320.0,23.7912,2.0,5.4478
234,Active,Female,Graduate,Student,Savings,No,No,Yes,Yes,Yes,No,Need Improvement,Yes,22,1500,150.0,5.0,12.0,1.0
235,Active,Male,Post Graduate,Student,Savings,Yes,No,No,No,No,No,Need Improvement,Yes,26,3000,2000.0,4.0,25.0,1.0
236,Dormant,Male,Doctrate,Salaried,Savings,Yes,Yes,No,No,No,No,Need Improvement,No,39,2500,3000.0,23.7912,10.0,5.4478
237,Dormant,Female,Post Graduate,Salaried,Savings,No,Yes,Yes,No,No,Yes,No,No,30,1500,6000.0,2.0,0.0,5.4478
238,Active,Male,Post Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,Yes,Yes,23,200,27239.0,1.0,41.1346,1.0
239,Active,Female,Graduate,Salaried,Savings,Yes,No,No,Yes,Yes,No,Yes,Yes,36,5000,0.0,4.0,5.0,1.0
240,Active,Male,Graduate,Salaried,Salaried,Yes,No,Yes,Yes,Yes,No,Need Improvement,Yes,30,500,500.0,20.0,12.0,1.0
241,Dormant,Male,Graduate,Business,Savings,Yes,No,No,Yes,Yes,No,No,Yes,27,3000,25000.0,16.0,2.0,5.4478
242,Active,Male,Post Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,Yes,Yes,24,500,12000.0,1.0,1.0,2.0
243,Dormant,Male,Post Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,No,24,1000,5000.0,1.0,0.0,5.4478
244,Inactive,Female,Post Graduate,Student,Savings,Yes,Yes,Yes,Yes,No,No,Yes,Yes,25,0,27239.0,12.0,0.0,5.4478
245,Inactive,Female,12th,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,20,2500,850.0,6.0,7.0,3.0
246,Active,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Yes,Yes,29,4000,2000.0,5.0,41.1346,2.0
247,Inactive,Female,Post Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,Yes,23,0,27239.0,10.0,1.0,5.4478
248,Active,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,Yes,No,Yes,Yes,54,5947,27239.0,5.0,3.0,1.0
249,Inactive,Female,Graduate,Other,Savings,No,No,No,Yes,No,No,Yes,Yes,42,2500,6000.0,23.7912,0.0,-3.4478
250,Active,Female,Post Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,Yes,Yes,23,500,5000.0,1.0,5.0,1.0
251,Active,Female,Graduate,Salaried,Savings,Yes,No,Yes,Yes,Yes,No,Need Improvement,Yes,31,5000,27239.0,8.0,20.0,1.0
252,Inactive,Female,Doctrate,Student,Savings,Yes,No,No,Yes,Yes,No,Need Improvement,Yes,30,5947,27239.0,4.0,9.0,1.0
253,Active,Male,Graduate,Business,Savings,Yes,No,Yes,Yes,No,No,Yes,Yes,50,5947,27239.0,2.0,3.0,1.0
254,Active,Male,Graduate,Salaried,Salaried,Yes,No,Yes,Yes,No,No,Need Improvement,Yes,23,0,27239.0,15.0,5.0,1.0
255,Active,Female,Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,Yes,37,1000,17000.0,1.0,3.0,-3.4478
256,Inactive,Male,12th,Salaried,Pension,Yes,Yes,No,No,No,No,Need Improvement,Yes,54,500,27239.0,23.7912,2.0,3.0
257,Active,Male,Graduate,Salaried,Current,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,25,0,27239.0,10.0,41.1346,1.0
258,Dormant,Female,Graduate,Other,Savings,Yes,No,No,No,No,No,Need Improvement,No,54,5947,27239.0,2.0,3.0,5.4478
259,Dormant,Male,Post Graduate,Business,Savings,No,Yes,No,No,No,No,No,No,30,0,0.0,23.7912,0.0,-3.4478
260,Dormant,Male,12th,Student,Savings,No,No,No,Yes,No,No,No,No,20,1000,250.0,2.0,0.0,3.0
261,Active,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,Yes,No,Yes,Yes,25,1000,27239.0,2.0,6.0,2.0
262,Active,Male,Graduate,Business,Salaried,No,Yes,Yes,Yes,No,No,Yes,Yes,20,0,27239.0,8.0,23.0,3.0
263,Dormant,Male,12th,Salaried,Savings,Yes,No,No,Yes,No,No,No,No,23,500,27239.0,4.0,0.0,5.4478
264,Active,Male,10th,Other,No Frill ACcount,Yes,No,No,No,No,No,No,Yes,54,600,27239.0,7.0,4.0,4.0
265,Active,Male,Post Graduate,Business,Savings,Yes,No,No,No,No,No,No,No,30,600,6523.0,5.0,34.0,1.0
266,Active,Male,12th,Business,Savings,Yes,No,Yes,Yes,Yes,No,Yes,Yes,48,5000,27239.0,6.0,41.1346,1.0
267,Active,Female,Graduate,Salaried,Salaried,No,Yes,No,No,Yes,No,No,No,54,1000,8494.0,19.0,13.0,2.0
268,Active,Male,12th,Student,Savings,No,No,No,No,No,No,No,Yes,40,500,27239.0,17.0,34.0,2.0
269,Inactive,Male,10th,Other,No Frill ACcount,Yes,No,Yes,Yes,Yes,Yes,Need Improvement,Yes,54,0,27239.0,20.0,1.0,5.4478
270,Inactive,Male,Doctrate,Salaried,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,No,54,1000,27239.0,17.0,3.0,5.4478
271,Active,Female,10th,Salaried,Savings,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,32,1100,27239.0,14.0,21.0,2.0
272,Active,Female,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,No,Need Improvement,Yes,21,1000,27239.0,23.7912,2.0,3.0
273,Active,Male,Graduate,Salaried,No Frill ACcount,No,No,Yes,No,Yes,Yes,No,Yes,26,1989,1913.0,4.0,4.0,1.0
274,Active,Male,12th,Student,Savings,Yes,No,No,No,No,No,Need Improvement,Yes,16,1000,2005.0,9.0,1.0,-3.4478
275,Active,Male,Graduate,Salaried,Savings,Yes,Yes,No,Yes,Yes,No,Yes,Yes,54,5947,416.0,7.0,34.0,2.0
276,Active,Male,Post Graduate,Salaried,Savings,Yes,Yes,No,Yes,Yes,No,Yes,Yes,54,5947,27239.0,2.0,41.1346,-3.4478
277,Active,Female,Graduate,Not working,Savings,Yes,Yes,No,Yes,Yes,No,Yes,Yes,54,5947,27239.0,2.0,41.1346,1.0
278,Dormant,Female,Post Graduate,Other,No Frill ACcount,No,No,No,No,No,No,No,No,30,1000,9058.0,8.0,0.0,5.4478
279,Active,Male,Graduate,Student,Savings,Yes,No,Yes,Yes,No,No,Yes,Yes,40,1000,27239.0,6.0,4.0,2.0
280,Inactive,Female,Graduate,Salaried,Savings,No,No,No,No,No,No,No,Yes,45,2200,27239.0,12.0,0.0,5.4478
281,Active,Male,Post Graduate,Business,Savings,Yes,Yes,No,Yes,Yes,No,No,Yes,54,5000,27239.0,8.0,12.0,1.0
282,Inactive,Female,10th,Other,No Frill ACcount,No,No,No,No,No,No,Need Improvement,Yes,46,5947,2253.0,12.0,3.0,5.4478
283,Active,Male,Graduate,Salaried,Savings,Yes,No,No,Yes,Yes,No,No,Yes,54,5947,18743.0,8.0,32.0,-3.4478
284,Active,Female,Doctrate,Salaried,Savings,No,No,No,No,No,No,No,Yes,49,5947,27239.0,4.0,41.1346,2.0
285,Dormant,Female,12th,Salaried,Savings,No,No,No,No,No,No,No,No,50,4000,2585.0,9.0,0.0,-3.0
286,Dormant,Female,12th,Student,No Frill ACcount,No,No,No,No,No,No,No,No,23,500,1845.0,5.0,0.0,-1.0
287,Inactive,Female,Doctrate,Salaried,Savings,Yes,No,No,Yes,No,Yes,No,Yes,54,2000,411.0,9.0,3.0,-2.0
288,Dormant,Male,Graduate,Other,Senior Citizen Account,Yes,Yes,No,No,No,No,Yes,No,54,1000,1000.0,10.0,15.0,1.0
289,Inactive,Female,Graduate,Salaried,Salaried,No,No,No,No,No,No,Need Improvement,Yes,54,5947,8718.0,7.0,5.0,5.4478
290,Active,Male,Graduate,Student,Savings,Yes,No,No,No,No,No,Yes,Yes,54,2000,27239.0,5.0,12.0,-3.4478
291,Active,Transgender,Graduate,Student,No Frill ACcount,Yes,No,No,No,No,No,Yes,Yes,32,500,87.0,6.0,40.0,2.0
292,Active,Male,12th,Other,Savings,Yes,Yes,No,No,Yes,No,Yes,Yes,45,5947,27239.0,3.0,41.1346,2.0
293,Dormant,Female,Graduate,Business,No Frill ACcount,No,Yes,Yes,No,No,Yes,No,No,54,5947,1005.0,23.7912,0.0,0.0
294,Active,Male,Graduate,Business,Savings,Yes,No,No,No,No,No,Yes,Yes,32,2000,6511.0,2.0,34.0,0.0
295,Dormant,Male,Graduate,Other,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,No,35,1000,1000.0,2.0,1.0,-1.0
296,Dormant,Female,10th,Other,Savings,Yes,No,No,No,No,No,Yes,No,40,1000,500.0,6.0,0.0,-3.0
297,Active,Female,Post Graduate,Student,Savings,Yes,Yes,Yes,Yes,No,No,Yes,Yes,25,2000,12000.0,6.0,10.0,1.0
298,Active,Female,Graduate,Salaried,Salaried,Yes,No,No,No,No,No,Yes,Yes,45,2500,12000.0,4.0,15.0,2.0
299,Active,Male,Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,Yes,Yes,24,1000,1500.0,1.0,5.0,1.0
300,Active,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Need Improvement,Yes,24,500,1000.0,1.0,15.0,1.0
301,Active,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Need Improvement,Yes,24,500,800.0,0.05,10.0,1.0
302,Active,Female,10th,Other,Pension,Yes,Yes,No,No,No,No,Yes,Yes,54,500,2000.0,0.1,5.0,1.0
303,Active,Female,10th,Other,Pension,Yes,No,No,No,No,No,Yes,Yes,54,500,600.0,0.1,3.0,1.0
304,Dormant,Male,Graduate,Salaried,Current,Yes,Yes,No,No,No,No,No,No,40,2000,5000.0,3.0,2.0,5.4478
305,Active,Female,Post Graduate,Other,Savings,Yes,Yes,No,Yes,No,No,Yes,Yes,36,1000,27239.0,0.2,40.0,1.0
306,Active,Male,Graduate,Student,Savings,No,No,No,Yes,No,No,Yes,Yes,24,500,0.0,1.0,5.0,1.0
307,Active,Male,Post Graduate,Other,Savings,Yes,No,No,Yes,No,No,Yes,Yes,30,2000,10000.0,0.1,10.0,1.0
308,Dormant,Male,Graduate,Business,Savings,No,No,No,No,No,No,No,No,32,0,500.0,0.1,0.0,5.4478
309,Active,Male,Graduate,Salaried,Savings,No,Yes,No,Yes,No,No,Yes,Yes,24,500,9.0,0.05,5.0,1.0
310,Active,Male,12th,Salaried,Salaried,Yes,No,No,Yes,No,No,Yes,Yes,24,1000,500.0,1.0,15.0,1.0
311,Inactive,Male,12th,Business,Savings,No,No,Yes,Yes,Yes,Yes,Need Improvement,Yes,24,2000,0.0,23.7912,0.0,-3.4478
312,Inactive,Male,12th,Business,Savings,No,Yes,No,Yes,No,Yes,Yes,No,24,0,0.0,23.7912,0.0,5.4478
313,Active,Female,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Yes,Yes,30,2000,5000.0,5.0,15.0,1.0
314,Active,Female,Graduate,Other,Savings,Yes,No,No,Yes,No,No,Yes,Yes,28,500,5000.0,5.0,10.0,1.0
315,Dormant,Female,Graduate,Salaried,Other,No,Yes,No,No,No,No,Yes,No,24,0,0.0,2.0,0.0,5.4478
316,Active,Male,Graduate,Salaried,Salaried,Yes,No,No,Yes,No,No,Yes,Yes,50,500,500.0,0.1,6.0,1.0
317,Active,Female,12th,Student,Other,No,No,No,Yes,No,No,Yes,Yes,18,500,200.0,3.0,3.0,-3.4478
318,Active,Female,10th,Other,Other,No,Yes,No,No,No,Yes,Need Improvement,Yes,45,0,50.0,1.0,1.0,-3.4478
319,Dormant,Male,Graduate,Business,Savings,No,Yes,Yes,Yes,Yes,Yes,No,No,28,500,0.0,2.0,2.0,5.4478
320,Dormant,Female,12th,Other,Savings,No,Yes,No,No,No,No,Need Improvement,No,50,500,70.0,4.0,2.0,5.4478
321,Active,Male,Graduate,Business,Current,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,28,2000,27239.0,2.0,12.0,1.0
322,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,25,0,1500.0,5.0,15.0,1.0
323,Dormant,Male,Post Graduate,Salaried,Savings,No,Yes,No,No,No,No,Need Improvement,No,27,500,5.0,23.7912,0.0,5.4478
324,Dormant,Male,12th,Salaried,Savings,Yes,No,No,Yes,No,No,No,No,35,500,10000.0,5.0,0.0,5.4478
325,Active,Male,Graduate,Salaried,Salaried,No,Yes,No,Yes,No,No,Yes,Yes,24,1000,11000.0,3.0,40.0,1.0
326,Inactive,Female,Graduate,Other,Savings,No,No,No,Yes,No,No,Yes,Yes,42,2500,6000.0,2.0,0.0,5.4478
327,Dormant,Female,Graduate,Not working,Savings,Yes,Yes,No,Yes,No,No,Yes,No,36,5000,6000.0,2.0,0.0,5.4478
328,Active,Male,Graduate,Salaried,Savings,No,No,Yes,Yes,Yes,No,Yes,Yes,24,0,400.0,10.0,40.0,1.0
